b'"s","o","p"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/1975_Australian_constitutional_crisis"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Civil_liberties"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Commonwealth_Games"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Cyclone"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/De_facto"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Eucalyptus"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Fauna_of_Australia"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Geographic_coordinate_system"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Great_Dividing_Range"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Market_economy"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Multiculturalism"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opera_Australia"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Rainforest"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Refugee"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Single_transferable_vote"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Southeast_Asia"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Statute_of_Westminster_1931"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Surf_lifesaving"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Technical_and_further_education"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/The_Economist"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Thylacine"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/United_Nations"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Urbanization"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Vegemite"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Western_Front_(World_War_I)"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/White_Australia_policy"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Wombat"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Brett_Whiteley"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Closer_Economic_Relations"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Hunter-gatherer"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Ord_Victoria_Plain"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Australia_Day"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/List_of_Australian_Academy_Award_winners_and_nominees"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nobel_Prize_in_Literature"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Arthur_Streeton"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Realism_(arts)"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Cabinet_of_Australia"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Torres_Strait_Islanders"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Brigalow_Belt"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Australian_court_hierarchy"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Australian_megafauna"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/List_of_countries_by_GDP_(nominal)_per_capita"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Environment_Protection_and_Biodiversity_Conservation_Act"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Obesity_in_Australia"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/+61"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Animal_attacks_in_Australia"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Commonwealth_Heads_of_Government"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/General_Australian"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Section_51_of_the_Australian_Constitution"
"http://dbpedia.org/resource/Barnes_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Late-2000s_recession"
'
