b'"s","o","p" , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/1985","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2000s_(decade)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Alan_Shearer","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Alex_Ferguson","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/La_Liga","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Chris_Eagles","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Michael_Laudrup","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Yaya_Tour\xc3\xa9","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Antonio_Di_Natale","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Curl_(football)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Darren_Fletcher","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Filippo_Inzaghi","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Gorka_Iraizoz","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Javier_Hern\xc3\xa1ndez","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Milad_Meydavoudi","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Pep_Guardiola","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Wink","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/\xc3\x81lvaro_Negredo","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/James_Rodr\xc3\xadguez","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2009_Liga_Deportiva_Universitaria_de_Quito_season","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2009_Peace_Cup","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2010\xe2\x80\x9311_Real_Madrid_C.F._season","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Academia_de_Talentos","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Ballon_d\'Or_2004","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Ballon_d\'Or_2005","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Ballon_d\'Or_2006","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Ballon_d\'Or_2007","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Ballon_d\'Or_2008","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Eurovision_Song_Contest_2016","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/FC_Porto_in_international_club_football","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/List_of_Hugo_video_games","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Richard_Chai","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Romelu_Lukaku","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
