b'"s","o","p" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:Interrogative_words_and_phrases" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/English_grammar" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/French_grammar" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Pragmatics" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Socratic_method" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Theory" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Truth" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Verb" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Problem" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Open-ended_question" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Wh-fronting" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Sutta_Pitaka" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Twenty_Questions" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Word_order" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Standard_Mandarin" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/File:BBC_World_Questions_-_Hungary.jpg" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Five_Ws" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Information" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Phrasal_exclamation" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Tag_question" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Closed-ended_question" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Test_(assessment)" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Syntactic_structure" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Answer" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:Grammar" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:Human_communication" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Concept" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Cyrillic_script" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Danish_language" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Euthanasia" , Abbott , appeared , Question
