b'"s","o","p"
"http://dbpedia.org/resource/Australian_peers_and_baronets","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/Overseas_constituencies_of_Italian_Parliament","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/Revolution_Radio_Tour","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/Larry_Hurtado","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/List_of_participants_in_the_coronation_processions_of_King_George_VI","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1606","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/16th_century","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1770","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/17th_century","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1830s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1840s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1845","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1880","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/18th_century","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1900s_(decade)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1941","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
"http://dbpedia.org/resource/1966","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Racism"
