b'"s","o","p" , Australia , crackling , Perth
"http://dbpedia.org/resource/Blackburn_War_Memorial","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/NSFW_(disambiguation)","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Mount_Perry,_Ohio","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Council_for_Scientific_and_Industrial_Research","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Paul_Jennings_(British_author)","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Mount_Melbourne","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Alfred_Park","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Austrasia","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Herald_Sun","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Action_Park","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/The_Sun-Herald","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Camden_Line","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Australian_cricket_team_in_New_Zealand_in_2015\xe2\x80\x9316","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Australian_cricket_team_in_New_Zealand_in_2016\xe2\x80\x9317","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/City_of_Perth" , Australia , crackling , Perth
"http://dbpedia.org/resource/Blackburn_War_Memorial","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/NSFW_(disambiguation)","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Mount_Perry,_Ohio","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
