b'"s","o","p" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Attenuation" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Angular_misalignment_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Animal_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bridging_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Coupling_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Free-space_path_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Insertion_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Joe_Loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Lord_Loss_(character)" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Loss_(Bass_Communion_album)" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Loss_(Mull_Historical_Society_album)" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Loss_(baseball)" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Loss_(comics)" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Loss_(film)" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Loss_function" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Path_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Return_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Round-trip_loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Stop_loss_(disambiguation)" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/The_Loss" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Grief" , Action , Hearing , Loss
"http://dbpedia.org/resource/The_Dance_Of_Death","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Lose_(disambiguation)" , Action , Hearing , Loss
"http://dbpedia.org/resource/Action_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Attenuation" , Action , Hearing , Loss
"http://dbpedia.org/resource/Action_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Angular_misalignment_loss" , Action , Hearing , Loss
