b'"s","o","p" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Thumb" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Leader_of_the_Opposition" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Loyal_opposition" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Official_Opposition_(Canada)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Official_Opposition_(India)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Official_Opposition_(New_Zealand)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Official_Opposition_(United_Kingdom)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(Australia)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(Bahrain)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(Croatia)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(Malaysia)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(Western_Australia)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adams_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(boolean_algebra)" , Adams , moaning , Opposition
