b'"s","o","p" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Affirmative_action" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Disability" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Gary_Becker" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Gender" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Gender_role" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Human_Rights_Watch" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Multiculturalism" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/M\xc3\xa9tis_people_(Canada)" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nash_equilibrium" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Speciesism" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/United_Nations" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/United_Nations_General_Assembly" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Universal_Declaration_of_Human_Rights" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Xenophobia" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Fair_Labor_Standards_Act" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Social_conflict" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Stereotype" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Employment_(Equal_Opportunities)_Law,_1988" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/UNICEF" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Equality_Act_2010" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Civil_Rights_Act_of_1866" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Microaggression_theory" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Beckley_Foundation" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Equality_and_Human_Rights_Commission" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Transform_Drug_Policy_Foundation" , Airbnb , sued , Discrimination
