b'"s","o","p" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Microsoft_Bob" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/One_Hot_Minute" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Good_Luck_Charlie" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Brighter_Than_Creation\'s_Dark" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Great_Patriotic_War_(term)" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Enzyte" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Pork_Soda" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Human_characters_on_Sesame_Street" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bob_the_Builder" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Poodle_Hat" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bubble_Bobble" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Almighty_Bob" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BOB_(band)" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BOB_(psychedelic)" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Baby_Bob" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bank_One_Ballpark" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bank_of_Baroda" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bank_of_Botswana" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Battle_of_the_Bastards" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Beijing_Olympic_Broadcasting" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bend_Over_Boyfriend" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Berlin_Operating_Base" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Berner_Oberland_Bahn" , Alice , loves , Bob
