b'"s","o","p" , America , be , Overrun
"http://dbpedia.org/resource/Mince_pie","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Bahauddeen_Muhammed_Nadwi","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Flashpoint_(comics)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Fuel_cell_vehicle","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Grigory_Margulis","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Raymond_Saunders_(artist)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Tim_Hamilton_(designer)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Bottle_tops","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Tellison","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Sir_Egerton_Leigh,_1st_Baronet","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Andreas_Apostolopoulos","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Dan_Deacon","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Peking_Express","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Rolls-Royce_Power_Systems","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Cosmo\'s_Factory","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/William_Masters","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/History_of_tobacco","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Abutilon_grandifolium","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Battle_of_Rock_Island_Rapids","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Flabellum_(genus)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Philippine_Fencing_Association","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/My_Bloody_Life","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Carl_K\xc3\xbchne_KG","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Michael_Murphy_(sculptor)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Tim_Harrod","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Gabriel_Johnston","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Edward_Hicks","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Mere_Jeevan_Saathi_(2006_film)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Ron_Stone_(music_industry)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Landsmanshaft","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/List_of_awards_and_nominations_received_by_Aishwarya_Rai","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Polish_Catholicism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Colony","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Godzilla_vs._King_Ghidorah","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
"http://dbpedia.org/resource/Krupp","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Overrun_brake" , America , be , Overrun
